event.tag.report tag_id=0x35E0170044CF0D590000F54E, type=ISOC, antenna=1, rssi=217, time=2010-05-01T03:17:26.094
event.tag.report tag_id=0x35E0170044CF0D590000F57E, type=ISOC, antenna=1, rssi=177, time=2010-05-01T03:17:26.101
event.tag.report tag_id=0x35E0170044CF0D590000F629, type=ISOC, antenna=1, rssi=301, time=2010-05-01T03:17:26.114
event.tag.report tag_id=0x35E0170044CF0D590000F656, type=ISOC, antenna=1, rssi=355, time=2010-05-01T03:17:26.126
event.tag.report tag_id=0x35E0170044CF0D590000F55D, type=ISOC, antenna=1, rssi=146, time=2010-05-01T03:17:26.140
event.tag.report tag_id=0x35E0170044CF0D590000F5A2, type=ISOC, antenna=1, rssi=401, time=2010-05-01T03:17:26.197
event.tag.report tag_id=0x35E0170044CF0D590000F599, type=ISOC, antenna=1, rssi=152, time=2010-05-01T03:17:26.348
event.tag.report tag_id=0x35E0170044CF0D590000F64D, type=ISOC, antenna=1, rssi=141, time=2010-05-01T03:17:26.520
event.tag.report tag_id=0x35E0170044CF0D590000F5A4, type=ISOC, antenna=1, rssi=1832, time=2010-05-01T03:17:26.760
event.tag.report tag_id=0x35E0170044CF0D590000F61B, type=ISOC, antenna=1, rssi=548, time=2010-05-01T03:17:26.772
event.tag.report tag_id=0x35E0170044CF0D590000F5F7, type=ISOC, antenna=1, rssi=139, time=2010-05-01T03:17:26.776
event.tag.report tag_id=0x35E0170044CF0D590000F634, type=ISOC, antenna=1, rssi=1762, time=2010-05-01T03:17:26.783
event.tag.report tag_id=0x35E0170044CF0D590000F659, type=ISOC, antenna=1, rssi=362, time=2010-05-01T03:17:26.792
event.tag.report tag_id=0x35E0170044CF0D590000F61D, type=ISOC, antenna=1, rssi=734, time=2010-05-01T03:17:26.796
event.tag.report tag_id=0x35E0170044CF0D590000F542, type=ISOC, antenna=1, rssi=482, time=2010-05-01T03:17:26.799
event.tag.report tag_id=0x35E0170044CF0D590000F5B1, type=ISOC, antenna=1, rssi=1289, time=2010-05-01T03:17:26.803
